ID,Name,Country,Latitude,Longitude
SPXX0202,Asturies-Aviles,Espagne,43.55,-6.03
SPXX0226,Melilla,Espagne,35.29,-2.94
SPXX0233,Sierra-Nevada,Espagne,37.08,-3.17
SPXX0005,Alcobendas,Espagne,40.53,-3.63
SPXX0017,Cadiz,Espagne,36.53,-6.3
SPXX0024,Cordova,Espagne,37.88,-4.77
SPXX0029,Eibar,Espagne,43.18,-2.47
SPXX0031,El-Astillero,Espagne,43.4,-3.82
SPXX0036,Fuenlabrada,Espagne,40.28,-3.8
SPXX0043,Huesca,Espagne,42.13,-0.42
SPXX0048,Leganes,Espagne,40.32,-3.75
SPXX0050,Madrid,Espagne,40.45,-3.55
SPXX0055,Mataro,Espagne,41.53,2.45
SPXX0062,Paterna,Espagne,39.5,-0.43
SPXX0067,San-Antonio-Abad,Espagne,38.97,1.3
SPXX0074,Seville,Espagne,37.38,-5.98
SPXX0079,Tudela,Espagne,42.08,-1.6
SPXX0081,Utrera,Espagne,37.18,-5.78
SPXX0086,Zaragoza,Espagne,41.67,-1.02
SPXX0093,Benasque,Espagne,42.6,0.53
SPXX0098,Cazorla,Espagne,37.92,-3.0
SPXX0105,Jerez,Espagne,36.68,-6.13
SPXX0112,Montalban,Espagne,40.83,-0.8
SPXX0117,Requena,Espagne,39.48,-1.1
SPXX0143,Girona,Espagne,41.97,2.81
SPXX0181,Renteria,Espagne,43.32,-1.9
SPXX0193,Burgos,Espagne,42.37,-3.63
SPXX0198,Badajoz-Talavera-La-Real,Espagne,38.88,-6.82
SPXX0220,Cordoba,Espagne,37.88,-4.77
SPXX0225,Huelva,Espagne,37.25,-6.94
SPXX0237,Tarifa,Espagne,36.01,-5.61
SPXX0004,Alcira,Espagne,39.15,-0.43
SPXX0009,Almeria,Espagne,36.85,-2.38
SPXX0011,Arizgoiti,Espagne,43.23,-2.88
SPXX0016,Bilbao,Espagne,43.3,-2.93
SPXX0023,Ciudad-Real,Espagne,38.98,-3.93
SPXX0028,Ecija,Espagne,37.53,-5.08
SPXX0030,El-Alquian,Espagne,36.85,-2.35
SPXX0035,Elche,Espagne,38.25,-0.7
SPXX0042,Guadix,Espagne,37.3,-3.13
SPXX0054,Marbella,Espagne,36.52,-4.88
